Here are the outliers! They had an average over .250 but less than 60 RBIs
Brendan Donovan, St. Louis Cardinals
Alec Bohm, Philadelphia Phillies
Xavier Edwards, Miami Marlins
Ernie Clement, Toronto Blue Jays
Carlos Correa, Houston Astros
Paul Goldschmidt, New York Yankees
Steven Kwan, Cleveland Guardians
Gavin Lux, Cincinnati Reds
Jung Hoo Lee, San Francisco Giants
J.P. Crawford, Seattle Mariners
Nolan Schanuel, Los Angeles Angels
Xander Bogaerts, San Diego Padres
TJ Friedl, Cincinatti Reds
Zach McKinstry, Detroit Tigers
Jordan Beck, Colorado Rockies
J.T. Realmuto, Philadelphia Phillies
Caleb Durbin, Milwaukee Brewers
Chase Meidroth, Chicago White Sox
Masyn Winn, St. Louis Cardinals
Josh Smith, Texas Rangers
